Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1714171970.14,0,0,39.0,0.0,0.0,0.0,22.74416015625,45.74405208977554,1008.59017119441,38.868695014691774,6701.0
1714171972.11,0,0,30.0,0.0,0.0,0.0,22.84513671875,45.27883073598389,1008.5953620792592,38.8253158357576,11862.0
1714171974.12,0,0,30.0,0.0,0.0,0.0,22.91232421875,44.82015898692889,1008.5985936260785,38.79831062113404,17229.5
1714171976.11,0,0,42.0,0.0,0.0,0.0,22.95509765625,44.431072332807894,1008.596334431164,38.817190161224175,22834.5
1714171978.13,0,0,33.0,0.0,0.0,0.0,22.9926953125,44.14432515098038,1008.5886620463905,38.88130669412081,28451.0
1714171980.08,0,0,29.0,0.0,0.0,0.0,22.9926953125,44.14432515098038,1008.5886620463905,38.88130669412081,28451.0
1714171982.13,0,0,29.0,0.0,0.0,0.0,23.03849609375,43.90530396846576,1008.5865724280449,38.89876931674532,33427.0
1714171984.1,0,0,24.0,0.0,0.0,0.0,23.087421874999997,43.719415137170415,1008.5820624245504,38.936458731228775,37981.0
1714171986.13,0,0,35.0,0.0,0.0,0.0,23.132832031249997,43.59807075188197,1008.5747534215351,38.99753932010593,42145.5
1714171988.11,0,0,28.0,0.0,0.0,0.0,23.182734375000003,43.51429970243085,1008.5735929849611,39.00723698259394,46727.0
1714171990.14,0,0,31.5,0.0,0.0,0.0,23.23419921875,43.51396568896077,1008.5757993450557,38.988798604924,51214.0
1714171992.12,0,0,31.5,0.0,0.0,0.0,23.284296875,43.531980327064986,1008.5685047462002,39.04975911930612,55442.5
1714171994.13,0,0,42.5,0.0,0.0,0.0,23.3352734375,43.55626897230776,1008.5634989671814,39.091592291303954,58700.5
1714171996.1,0,0,39.0,0.0,0.0,0.0,23.38654296875,43.552836622766335,1008.5754512721242,38.991707444698704,62252.5
1714171998.13,0,0,32.0,0.0,0.0,0.0,23.43634765625,43.51531138654698,1008.5731628995212,39.01083119127702,65722.0
1714172000.11,0,0,38.5,0.0,0.0,0.0,23.4876171875,43.502628306719444,1008.5731694785723,39.01077622493439,68181.0
1714172002.16,0,0,38.5,0.0,0.0,0.0,23.54064453125,43.49631461650448,1008.578683880949,38.9646928582526,71407.5
1714172004.11,0,0,30.0,0.0,0.0,0.0,23.58419921875,43.42417390350538,1008.5711089886543,39.02799558550966,74641.0
1714172006.14,0,0,29.5,0.0,0.0,0.0,23.608515625,43.23896668806539,1008.5873711676697,38.89209434792836,77737.0
1714172008.11,0,0,29.5,0.0,0.0,0.0,23.608125,43.13115811449803,1008.5895086804339,38.87423153811025,80106.5
1714172010.12,0,0,29.5,0.0,0.0,0.0,23.6036328125,43.081415544127665,1008.5741793114732,39.00233716357863,82851.0
1714172012.1,0,0,34.5,0.0,0.0,0.0,23.5868359375,42.9903242953833,1008.5642505830182,39.08531105889039,85551.0
1714172014.13,0,0,35.0,0.0,0.0,0.0,23.5583203125,42.81193866723188,1008.5633946041561,39.09246445420021,88282.0
1714172016.11,0,0,36.5,0.0,0.0,0.0,23.53380859375,42.621937978176646,1008.5614999581936,39.108298029988134,91780.0
