time,counts
1711147561.4445798,12
1711147571.4548619,17
1711147581.4652,28
1711147591.4753807,40
1711147601.485669,49
1711147611.4959354,63
1711147621.506134,75
1711147631.5163739,86
1711147641.5266433,101
1711147651.5368242,112
1711147661.5469773,120
1711147671.5572226,131
