Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712963477.75,0,0,24.0,0.0,0.0,0.0,27.1270703125,28.95918136637684,996.9095858954265,136.9420853937479,32699.0
1712963479.72,0,0,24.0,0.0,0.0,0.0,27.18556640625,28.831480278333213,996.9107094934815,136.93260661531377,54445.0
1712963481.75,0,0,31.5,0.0,0.5,0.5,27.2128125,28.701260842410107,996.916005822687,136.8879268715063,69751.0
1712963483.73,0,0,25.5,0.0,0.5,0.5,27.21076171875,28.61095703253807,996.9155973430157,136.89137280900025,81233.5
1712963485.76,0,0,29.5,0.0,0.0,0.0,27.181953125,28.53819751672993,996.9171041447689,136.87866146378855,89712.0
1712963487.69,0,0,33.5,0.0,0.0,0.0,27.181953125,28.53819751672993,996.9171041447689,136.87866146378855,89712.0
1712963489.74,0,0,33.5,0.0,0.5,0.5,27.0981640625,28.520016170368145,996.9247638247964,136.8140449306485,99543.5
1712963491.72,0,0,31.0,0.0,0.5,0.5,27.04943359375,28.561007415876663,996.9396642375889,136.6883472933058,104869.5
1712963493.74,0,0,25.5,0.0,1.0,1.0,27.00626953125,28.585578393981933,996.9428880999777,136.66115147153005,110031.0
1712963495.72,0,0,24.5,0.0,1.0,1.0,26.9563671875,28.598335793107477,996.9430415225793,136.65985713538103,113677.5
1712963497.75,0,0,30.0,0.0,0.5,0.5,26.9024609375,28.647350734203602,996.9443566365466,136.6487631345262,117384.0
1712963499.72,0,0,30.0,0.0,0.5,0.5,26.832148437500003,28.71190861588196,996.9405204826029,136.68112409555695,120477.5
1712963501.75,0,0,36.0,0.0,0.0,0.0,26.71369140625,28.72179937386192,996.9330366612929,136.74425633443175,123728.0
1712963503.74,0,0,27.0,0.0,0.0,0.0,26.64796875,28.79237923969518,996.9279641855958,136.787047028657,126209.0
1712963505.75,0,0,31.0,0.0,0.0,0.0,26.59640625,28.821898391594836,996.9282310202602,136.78479604738436,127671.0
1712963507.72,0,0,28.5,0.0,0.0,0.0,26.5270703125,28.88093293042024,996.9147603352078,136.89843376564636,129455.0
1712963509.74,0,0,28.5,0.0,0.5,0.5,26.465351562499997,28.932159199694006,996.9103146897388,136.9359371854005,130992.5
1712963511.73,0,0,23.5,0.0,0.5,0.5,26.4208203125,29.004563242666354,996.9131488989041,136.91202781646933,131974.0
1712963513.74,0,0,31.5,0.0,1.0,1.0,26.353144531250003,29.08916038776513,996.9104902442708,136.93445623098998,133979.5
1712963515.72,0,0,29.5,0.0,1.0,1.0,26.1692578125,29.164072200148098,996.9007748262868,137.0164158250651,135214.0
1712963517.75,0,0,29.5,0.0,0.0,0.0,26.0712109375,29.316759473732397,996.8969903643859,137.04834186215948,135629.0
1712963519.72,0,0,36.5,0.0,0.0,0.0,26.0173046875,29.41674857869912,996.8944122876288,137.07009078602022,136263.0
1712963521.75,0,0,23.0,0.0,0.0,0.0,25.956953125,29.51907771590406,996.8983971120998,137.03647440937,136682.0
1712963523.72,0,0,27.0,0.0,0.0,0.0,25.927753906249997,29.61277436144584,996.9028180007332,136.99917953040824,137215.5
1712963525.75,0,0,29.5,0.0,0.0,1.0,25.9001171875,29.68967309749176,996.9096582832594,136.94147463941093,137695.5
1712963527.71,0,0,29.5,0.0,0.0,1.0,25.866328125,29.808572254965675,996.9051102187706,136.97984221505038,138344.5
1712963529.75,0,0,33.0,0.0,0.0,1.0,25.826484375,29.921367695584678,996.9086525110504,136.94995933740353,138452.0
1712963531.72,0,0,33.5,0.0,0.0,1.0,25.78185546875,30.016810419627568,996.9047636659976,136.98276579695062,139383.5
1712963533.75,0,0,37.0,0.0,0.5,1.0,25.73947265625,30.084113958612782,996.9089529021667,136.9474252404255,139825.5
1712963535.74,0,0,27.5,0.0,0.5,1.0,25.696796875,30.14290010983703,996.9062374877858,136.97033255999747,140775.5
1712963537.7,0,0,27.5,0.0,0.5,0.5,25.696796875,30.14290010983703,996.9062374877858,136.97033255999747,140775.5
1712963539.72,0,0,30.5,0.0,0.5,0.5,25.65568359375,30.210356103520418,996.8985775876938,137.03495190466634,141737.0
1712963541.75,0,0,28.0,0.0,0.0,0.0,25.606953125,30.308434068870746,996.8947328389006,137.06738658428532,141396.0
1712963543.72,0,0,23.0,0.0,0.0,0.0,25.55431640625,30.400540006511378,996.8866565698058,137.13551911870377,142080.5
1712963545.73,0,0,23.0,0.0,0.0,1.0,25.5067578125,30.46184040584367,996.8800107635273,137.1915844249727,142195.5
1712963547.72,0,0,29.5,0.0,0.0,1.0,25.47951171875,30.522071268881007,996.8828027714535,137.16803044981677,141742.0
1712963549.74,0,0,33.5,0.0,0.0,1.0,25.447285156249997,30.58188369149728,996.8861394316655,137.13988188269974,143292.5
1712963551.74,0,0,38.5,0.0,0.0,1.0,25.34953125,30.61327268131699,996.8944528119175,137.0697489223997,144526.5
1712963553.75,0,0,40.0,0.0,0.0,1.0,25.259882812500003,30.722239661296673,996.9153076075793,136.8938170069756,144411.0
1712963555.7,0,0,40.0,0.0,0.0,1.0,25.2255078125,30.818962980733033,996.9511370865121,136.5915657737529,144290.0
1712963557.75,0,0,38.0,0.0,0.0,1.0,25.1989453125,30.91927391379118,997.0092019639726,136.10175798465292,144231.0
1712963559.72,0,0,41.0,0.0,0.0,1.0,25.1747265625,30.985611738323577,997.0736568539069,135.55807409724878,144055.0
1712963561.78,0,0,40.5,0.0,0.0,1.0,25.1508984375,31.03488810088535,997.1313557729543,135.0714015613231,144645.0
1712963563.73,0,0,35.0,0.0,0.0,1.0,25.121796875,31.10084423787048,997.2075195066586,134.42902019375433,145002.5
1712963565.75,0,0,35.0,0.0,0.0,1.0,25.098359375,31.16446420238011,997.2878746654678,133.75132891749777,146027.0
1712963567.73,0,0,40.0,0.0,0.0,1.0,25.07482421875,31.2052443569375,997.349683466754,133.2300814476067,145601.5
1712963569.72,0,0,34.5,0.0,0.0,1.0,25.025507812500003,31.252341169709666,997.3640760545948,133.10870938658564,145782.5
1712963571.75,0,0,43.5,0.0,0.0,0.5,24.91984375,31.291637914660363,997.3699479884108,133.059192098062,146570.5
1712963573.71,0,0,43.5,0.0,0.0,0.5,24.796015625000003,31.38936782730329,997.3594881095777,133.14739912783463,147181.5
1712963575.75,0,0,37.0,0.0,0.0,0.0,24.71369140625,31.510809504481365,997.3666171393215,133.0872806989197,146936.0
1712963577.72,0,0,41.5,0.0,0.0,0.0,24.64083984375,31.607397533130246,997.3599574883026,133.1434408779545,147924.5
1712963579.75,0,0,42.0,0.0,0.0,0.0,24.59865234375,31.689560003605244,997.3687922087344,133.06893861817463,147305.0
