time,counts
1711148978.7078679,1
1711148988.7181036,5
1711148998.7283862,6
1711149008.7386513,7
1711149018.7489634,9
1711149028.759218,10
1711149038.769455,12
1711149048.7797244,17
1711149058.789898,19
1711149068.800138,22
1711149078.8104131,23
1711149088.8206875,24
