Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708732841.8527284,1,1,1,35.43546875,18451,100,680.4278169050144,3235.066126130401
1708732842.8658564,1,1,1,21.6173046875,3826,32.89699437190349,1006.5483758227496,55.94560438314867
1708732843.8789566,1,1,1,21.631171875,5693,32.90393351096741,1006.540756384232,56.00938338675904
1708732844.8916216,1,1,1,21.6309765625,7658,32.89821294915698,1006.5301606936206,56.098075951089534
1708732845.9042373,1,1,1,21.62296875,9761,32.891796365721405,1006.5407319476556,56.0095879353337
1708732846.917308,1,1,1,21.61125,11954,32.87364542206035,1006.5416745012282,56.00169820826357
1708732847.9303484,1,1,1,21.5719921875,14200,32.864448321627236,1006.5787123678463,55.69167424418279
1708732848.943616,1,1,1,21.50734375,16367,32.86439602327012,1006.5681422668605,55.78014990496305
1708732849.955402,1,1,1,21.435859375,18664,32.8694384950812,1006.5546777913947,55.89285364180595
1708732850.9683206,1,1,1,21.355,21016,32.87364992637669,1006.5494640762024,55.93649511903947
1708732851.9812593,0,1,1,21.260078125,23455,32.90511209395206,1006.5258309845137,56.13431854470177
1708732852.9958978,0,1,1,21.1645703125,25796,32.94792585851224,1006.5114463039195,56.25472895669108
1708732854.0097384,0,1,1,21.07453125,28332,32.991230994853645,1006.5318257085777,56.08413868337565
1708732855.0239146,0,1,1,20.98,30800,33.056953266599365,1006.5446465963992,55.976820065007566
1708732856.0382721,0,1,1,20.8895703125,33207,33.1344667350877,1006.5523211629102,55.912579811415
1708732857.05142,0,1,1,20.808515625,35716,33.20713277390319,1006.5688106483325,55.77455528216841
1708732858.0644624,0,1,1,20.73625,38041,33.30344628770294,1006.5845960322898,55.64242611919327
1708732859.0775445,0,1,1,20.6704296875,40146,33.39466775924788,1006.590636317801,55.59186726900057
1708732860.0900888,0,1,1,20.612421875,42200,33.50378171524565,1006.5909378986586,55.58934296075541
1708732861.1030154,0,1,1,20.5618359375,45240,33.602184427838516,1006.5746022119099,55.72607768252469
1708732862.1160514,0,1,1,20.5258984375,46957,33.707683029577446,1006.5674049314792,55.78632170330792
1708732863.129149,0,1,1,20.5067578125,48500,33.85486925097831,1006.5558625369174,55.88293673806528
1708732864.142201,0,1,1,20.4966015625,50299,34.06611842040872,1006.5439844312264,55.98236276258927
1708732865.1552687,0,1,1,20.4911328125,52895,34.27809304097391,1006.522869048238,56.15911202734144
1708732866.168176,0,1,1,20.494453125,54862,34.5084418198554,1006.519885301776,56.18408813626356
1708732867.1811302,0,1,1,20.5036328125,56867,34.722400362381656,1006.5062085848217,56.29857288413269
1708732868.195711,0,1,1,20.517890625,58734,34.93714538447579,1006.5044495596844,56.31329738273614
1708732869.2102623,0,1,1,20.538203125,60597,35.14121357343708,1006.497447929749,56.37190703605865
1708732870.223455,0,1,1,20.5596875,62722,35.345684365705054,1006.5026578798456,56.328295249675854
