Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1714173083.59,0,0,37.0,0.0,0.0,0.0,22.72248046875,47.06708233223281,1007.2174116977901,50.346919812879214,15117.5
1714173085.59,0,0,26.5,0.0,0.0,0.0,22.83634765625,46.99896959524051,1007.2280217053187,50.25815647733825,25573.0
1714173087.59,0,0,26.5,0.0,0.0,0.0,22.92609375,46.899683975923935,1007.231784345247,50.22667844374598,35377.0
1714173089.56,0,0,29.5,0.0,0.0,0.0,22.996796875,46.77616409893428,1007.2412973846808,50.14709322845643,44698.0
1714173091.64,0,0,31.5,0.0,0.0,0.0,23.055,46.59472063752723,1007.2540411902726,50.040480724111575,53198.0
1714173093.56,0,0,33.5,0.0,0.0,0.0,23.098750000000003,46.37408883498392,1007.2596188147752,49.993819575026734,60465.0
1714173095.58,0,0,38.0,0.0,0.0,0.0,23.13595703125,46.165467737640974,1007.2649803559918,49.948966316996305,66902.5
1714173097.55,0,0,38.0,0.0,0.0,0.0,23.16896484375,45.86591498334595,1007.2664809864323,49.93641247191181,73465.5
1714173099.56,0,0,32.5,0.0,0.0,0.0,23.16896484375,45.86591498334595,1007.2664809864323,49.93641247191181,73465.5
1714173101.56,0,0,27.5,0.0,0.0,0.0,23.1985546875,45.4603763902095,1007.2726861064165,49.88450234963996,78476.5
1714173103.58,0,0,27.0,0.0,0.0,0.0,23.22423828125,45.0770820868816,1007.2718264514813,49.89169395264193,84730.0
1714173105.55,0,0,30.5,0.0,0.0,0.0,23.246796875,44.74395459525956,1007.2706330547595,49.90167750352764,88711.0
1714173107.59,0,0,30.5,0.0,0.0,0.0,23.271503906249997,44.445800335828366,1007.2746505079649,49.86806883745682,94552.0
1714173109.55,0,0,23.5,0.0,0.0,0.0,23.295234375,44.182087646898,1007.2716275577725,49.893357905901425,99743.0
1714173111.58,0,0,27.5,0.0,0.0,0.0,23.3157421875,43.946222445731145,1007.2672013681708,49.93038603170655,104174.0
1714173113.55,0,0,30.5,0.0,0.0,0.0,23.3346875,43.78152010167026,1007.2639839796147,49.95730167978275,107639.0
1714173115.6,0,0,26.0,0.0,0.0,0.0,23.35392578125,43.687987339517804,1007.2593913216841,49.99572265785161,110573.0
1714173117.53,0,0,26.0,0.0,0.0,0.0,23.37326171875,43.66549355133991,1007.2586188024432,50.00218543135284,112944.5
1714173119.58,0,0,28.5,0.0,0.0,0.0,23.3915234375,43.69844201462314,1007.253403798429,50.045812929198554,115993.5
1714173121.56,0,0,34.5,0.0,0.0,0.0,23.4098828125,43.71905781494031,1007.2520092789478,50.057479213416215,119049.5
1714173123.59,0,0,33.0,0.0,0.0,0.0,23.428046875,43.6933395717103,1007.2530576571659,50.0487086752504,121636.0
1714173125.54,0,0,33.0,0.0,0.0,0.0,23.44474609375,43.602645487115154,1007.2518011443085,50.059220421469135,123641.0
1714173127.58,0,0,29.0,0.0,0.0,0.0,23.460859375,43.502675695522655,1007.2468701875027,50.100471934947166,126165.5
1714173129.55,0,0,36.0,0.0,0.0,0.0,23.4778515625,43.40902542034076,1007.2497407755818,50.07645709121729,128278.5
1714173131.58,0,0,33.5,0.0,0.0,0.0,23.49484375,43.309262168735714,1007.2516929172388,50.060125844777545,129660.0
1714173133.57,0,0,27.0,0.0,0.0,0.0,23.51125,43.21256859580505,1007.2518052243745,50.05918627952371,131975.5
1714173135.58,0,0,27.0,0.0,0.0,0.0,23.5270703125,43.12201151812435,1007.2491603611238,50.0813127195698,134491.5
1714173137.56,0,0,30.0,0.0,0.0,0.0,23.542597656250003,43.009941658484614,1007.2524751852993,50.053581519917174,136048.5
1714173139.58,0,0,27.5,0.0,0.0,0.0,23.55607421875,42.90385786615699,1007.2580689809616,50.006785075874745,137749.5
1714173141.56,0,0,35.5,0.0,0.0,0.0,23.57208984375,42.81347819928972,1007.2566454002138,50.0186943881679,138725.0
1714173143.6,0,0,31.5,0.0,0.0,0.0,23.59015625,42.75407971965738,1007.2566100052643,50.01899050922848,139714.5
1714173145.53,0,0,31.5,0.0,0.0,0.0,23.606171875,42.731309694736396,1007.2579362849037,50.007895161090396,140384.0
1714173147.58,0,0,41.5,0.0,0.0,0.0,23.62091796875,42.70840036497868,1007.2609354319915,49.98280501980912,140831.5
1714173149.53,0,0,39.5,0.0,0.0,0.0,23.62091796875,42.70840036497868,1007.2609354319915,49.98280501980912,140831.5
1714173151.58,0,0,31.5,0.0,0.0,0.0,23.634882812500003,42.70689506010155,1007.2553655868389,50.02940102690541,142369.0
1714173153.54,0,0,31.5,0.0,0.0,0.0,23.646796875,42.7051598081941,1007.2584982773958,50.00319366122165,143702.0
1714173155.58,0,0,31.5,0.0,0.0,0.0,23.659296875000003,42.66972370420477,1007.2579639255999,50.00766391018999,144827.0
1714173157.56,0,0,40.5,0.0,0.0,0.0,23.67091796875,42.594305698099134,1007.2523769936237,50.054402979576906,145963.5
1714173159.59,0,0,28.5,0.0,0.0,0.0,23.6825390625,42.52505023481787,1007.2541297481621,50.03973979449144,147181.5
1714173161.56,0,0,29.0,0.0,0.0,0.0,23.69484375,42.45896577600537,1007.2505335261071,50.06982507305146,147737.5
1714173163.57,0,0,29.0,0.0,0.0,0.0,23.7063671875,42.41120619164265,1007.2576371505227,50.01039763461617,147987.0
1714173165.56,0,0,28.0,0.0,0.0,0.0,23.71955078125,42.360579103432926,1007.2636796981537,49.959847221217224,147489.5
1714173167.59,0,0,31.0,0.0,0.0,0.0,23.7329296875,42.33143147294811,1007.2562641875686,50.0218835321881,148359.5
1714173169.56,0,0,30.5,0.0,0.0,0.0,23.746601562499997,42.308446639615894,1007.2557316781016,50.02633838298654,147799.0
1714173171.6,0,0,39.5,0.0,0.0,0.0,23.75939453125,42.297618235546494,1007.253816760497,50.04235825786898,147799.0
1714173173.53,0,0,39.5,0.0,0.0,0.0,23.77150390625,42.28977747115004,1007.2453204547193,50.11343678441403,147675.0
1714173175.59,0,0,33.0,0.0,0.0,0.0,23.78458984375,42.2667313535853,1007.2411112151331,50.14865070750132,148172.0
1714173177.56,0,0,37.0,0.0,0.0,0.0,23.797578125,42.24673966736461,1007.2395007319651,50.16212381082762,148240.5
1714173179.58,0,0,28.5,0.0,0.0,0.0,23.809199218750003,42.23578356696905,1007.2550131785802,50.032349194601565,149175.5
1714173181.55,0,0,28.5,0.0,0.0,0.0,23.8212109375,42.215685588817266,1007.2518666027406,50.05867293916399,149809.5
1714173183.58,0,0,43.0,0.0,0.0,0.0,23.83322265625,42.18640568990885,1007.2606503393608,49.98519003226612,150448.0
1714173185.56,0,0,35.5,0.0,0.0,0.0,23.843671875,42.15695643666723,1007.2633067961319,49.96296681241055,151483.0
1714173187.58,0,0,33.0,0.0,0.0,0.0,23.853046875,42.09985280224993,1007.2606032829759,49.985583703226766,152401.0
1714173189.56,0,0,34.5,0.0,0.0,0.0,23.862421875,42.04276664940246,1007.2578993075329,50.00820449225287,154064.5
1714173191.57,0,0,34.5,0.0,0.0,0.0,23.87091796875,41.97642933486634,1007.2620740179134,49.97327993240323,154470.0
1714173193.57,0,0,36.5,0.0,0.0,0.0,23.87970703125,41.91931760869552,1007.2621197291044,49.97289750946247,154537.5
1714173195.6,0,0,29.0,0.0,0.0,0.0,23.88810546875,41.880516659873194,1007.2615511817264,49.977653827717674,153462.0
1714173197.56,0,0,36.0,0.0,0.0,0.0,23.89796875,41.83577403553286,1007.2605308301949,49.98618981853949,153796.0
1714173199.54,0,0,36.0,0.0,0.0,0.0,23.909296875000003,41.803422275157,1007.2544690672713,50.03690112282469,155150.0
1714173201.56,0,0,39.5,0.0,0.0,0.0,23.909296875000003,41.803422275157,1007.2544690672713,50.03690112282469,155150.0
1714173203.56,0,0,31.0,0.0,0.0,0.0,23.92033203125,41.78020614020025,1007.2479460823586,50.09147117846362,155149.5
1714173205.59,0,0,30.5,0.0,0.0,0.0,23.92873046875,41.73837972848028,1007.2492116219846,50.08088387881075,155081.5
1714173207.56,0,0,29.0,0.0,0.0,0.0,23.93986328125,41.73655410196204,1007.2400870743161,50.1572185093752,155015.0
1714173209.6,0,0,29.0,0.0,0.0,0.0,23.9501171875,41.737685043659184,1007.2277446478108,50.26047433060745,153930.5
1714173211.56,0,0,33.5,0.0,0.0,0.0,23.96017578125,41.73268756821728,1007.219684202948,50.32790805306554,153194.5
1714173213.59,0,0,35.0,0.0,0.0,0.0,23.9704296875,41.749086684408766,1007.2100940476835,50.40813972392196,155355.5
1714173215.55,0,0,30.0,0.0,0.0,0.0,23.9786328125,41.72251001726126,1007.1981986455343,50.507658159472335,156043.0
1714173217.58,0,0,37.0,0.0,0.0,0.0,23.986445312500003,41.68368305293964,1007.1939507974529,50.54319642765631,156736.5
1714173219.57,0,0,37.0,0.0,0.0,0.0,23.9940625,41.63568773851614,1007.1939857029068,50.54290441408024,158356.0
1714173221.58,0,0,33.5,0.0,0.0,0.0,24.002460937499997,41.56033533219198,1007.1934118803142,50.54770511147902,158570.0
1714173223.56,0,0,35.5,0.0,0.0,0.0,24.00958984375,41.47877770624166,1007.1972691602841,50.51543438763017,160081.5
1714173225.59,0,0,27.0,0.0,0.0,0.0,24.0145703125,41.393976428594804,1007.1968325070222,50.51908751246649,160666.0
1714173227.57,0,0,39.5,0.0,0.0,0.0,24.0196484375,41.33664338418504,1007.1910409340034,50.567540937377686,161846.0
1714173229.56,0,0,39.5,0.0,0.0,0.0,24.0247265625,41.27932799288148,1007.1925935380523,50.55455158405984,161845.5
1714173231.56,0,0,32.5,0.0,0.0,0.0,24.02951171875,41.237223230747986,1007.1881774032449,50.591497881123395,162669.0
1714173233.58,0,0,30.0,0.0,0.0,0.0,24.036152343749997,41.20446214732163,1007.1848402756422,50.6194170996785,163196.5
1714173235.56,0,0,31.0,0.0,0.0,0.0,24.0423046875,41.165567670903165,1007.1889983650926,50.584629520384254,163725.0
1714173237.57,0,0,31.0,0.0,0.0,0.0,24.04796875,41.13879956242226,1007.1960615149668,50.525537766290185,163347.0
1714173239.56,0,0,32.0,0.0,0.0,0.0,24.05470703125,41.10606730187627,1007.1956315318564,50.529135080135674,163424.0
1714173241.58,0,0,24.5,0.0,0.0,0.0,24.061640625,41.09465463591983,1007.1964263082227,50.522485835834495,162592.0
1714173243.56,0,0,34.0,0.0,0.0,0.0,24.068671875,41.080211883577974,1007.1955380878634,50.529916867862646,162894.0
1714173245.58,0,0,42.5,0.0,0.0,0.0,24.0755078125,41.08704081317444,1007.1897521712023,50.5783230289736,161106.0
1714173247.57,0,0,42.5,0.0,0.0,0.0,24.080097656249997,41.10275161226699,1007.1896183690776,50.57944243978304,162368.0
1714173249.59,0,0,33.5,0.0,0.0,0.0,24.0848828125,41.08197942313322,1007.1796918436129,50.66249037773228,163421.5
1714173251.52,0,0,35.5,0.0,0.0,0.0,24.0848828125,41.08197942313322,1007.1796918436129,50.66249037773228,163421.5
1714173253.58,0,0,32.0,0.0,0.0,0.0,24.089375,41.03380678024972,1007.1748136386086,50.70330285214621,164183.5
1714173255.58,0,0,27.0,0.0,0.0,0.0,24.093378906250003,41.003835830612616,1007.1673318833052,50.76589791611354,163271.0
1714173257.57,0,0,27.0,0.0,0.0,0.0,24.09796875,40.99521375430575,1007.162606774466,50.805429928704456,163118.5
1714173259.56,0,0,30.5,0.0,0.0,0.0,24.10587890625,40.99303446365764,1007.1695249194446,50.7475500854463,163345.5
1714173261.64,0,0,39.0,0.0,0.0,0.0,24.1141796875,40.96961739838885,1007.1715475749837,50.73062783863686,162069.5
1714173263.56,0,0,31.5,0.0,0.0,0.0,24.12169921875,40.96435637803502,1007.1723426561801,50.72397595495525,162145.5
1714173265.57,0,0,31.5,0.0,0.0,0.0,24.12970703125,40.956107699750575,1007.1812501429488,50.649453127750625,160667.5
1714173267.61,0,0,30.0,0.0,0.0,0.0,24.1380078125,40.96613063644516,1007.184190358515,50.6248544733657,160665.0
