
time,counts
1711147871.679082,2
1711147881.6892855,3
1711147891.6995044,4
1711147901.705032,8
1711147911.7152283,13
1711147921.7254863,14
1711147931.7357564,18
1711147941.7460303,18
1711147951.7563024,18
1711147961.7665756,19
1711147971.776839,21
1711147981.7871144,25
