time,counts
1711149257.1269488,3
1711149267.1372097,5
1711149277.1474648,7
1711149287.1577418,7
1711149297.1679804,9
1711149307.1771948,9
1711149317.1874373,10
1711149327.19771,13
1711149337.2079792,14
1711149347.218161,15
1711149357.228392,17
1711149367.238666,20
